"clogid","cbussinessid","cobjectid","cobjectline","calarmcode","crecvoccurutctime"
"29958","1534921137,1534921138","19727059","2","1032","2017/9/22 11:00:04"
"29959","1534921137,1534921138","19727059","2","1032","2017/9/22 11:00:55"
"29963","1534921137,1534921138","19727059","2","1032","2017/9/22 11:05:42"
"29964","1534921137,1534921138","19727059","2","1032","2017/9/22 11:05:51"
"29989","1534921137,1534921138","19727059","2","1032","2017/9/22 11:10:30"
"29990","1534921137,1534921138","19727059","2","1032","2017/9/22 11:10:43"
"29991","1534921137,1534921138","19727059","2","1032","2017/9/22 11:11:09"
"29994","1534921137,1534921138","19727059","2","1032","2017/9/22 11:14:28"
"29997","1534921137,1534921138","19727059","2","1032","2017/9/22 11:16:51"
"29905","","19727002","0","1524","2017/9/22 10:16:16"
"29910","","19727002","0","1524","2017/9/22 10:18:15"
"29923","","19727002","0","1524","2017/9/22 10:38:09"
"29928","","19727002","0","1524","2017/9/22 10:39:15"
"29978","","19727002","0","1524","2017/9/22 11:08:48"
"29993","","19727002","0","1524","2017/9/22 11:12:16"
"30001","","19727002","0","1524","2017/9/22 11:17:59"
"30005","","19727002","0","1524","2017/9/22 11:18:39"
"30013","","19727002","0","1524","2017/9/22 11:30:00"
"29735","","19726699","0","1524","2017/9/22 08:01:17"
"29740","","19726699","0","1524","2017/9/22 08:02:43"
"29965","","13172782","0","220","2017/9/22 11:06:11"
"29895","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:12:16"
"29897","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:12:38"
"29900","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:13:47"
"29901","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:14:34"
"29913","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:25:13"
"29914","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:25:31"
"29915","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:27:20"
"29916","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:27:26"
"29917","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:28:11"
"29918","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:28:20"
"29940","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:43:53"
"29941","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:44:31"
"29951","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:52:19"
"29952","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:52:53"
"29954","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:56:08"
"29955","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:56:14"
"29956","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 10:59:08"
"29960","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:01:11"
"29961","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:02:08"
"29962","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:02:18"
"29995","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:15:38"
"29996","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:16:08"
"30007","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:21:38"
"30008","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:21:41"
"30010","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:28:50"
"30011","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:28:58"
"30046","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:47:20"
"30048","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 11:49:02"
"30075","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 12:02:39"
"30077","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 12:04:14"
"30078","1534918861,1534921970,1534921971","19727060","9","1232","2017/9/22 12:06:17"
"29998","1534921137,1534921138","19727059","2","1032","2017/9/22 11:17:23"
"30002","1534921137,1534921138","19727059","2","1032","2017/9/22 11:18:21"
"30006","1534921137,1534921138","19727059","2","1032","2017/9/22 11:18:51"
"30009","1534921137,1534921138","19727059","2","1032","2017/9/22 11:24:30"
"30028","1534921137,1534921138","19727059","2","1032","2017/9/22 11:33:40"
"30029","1534921137,1534921138","19727059","2","1032","2017/9/22 11:35:07"
"30030","1534921137,1534921138","19727059","2","1032","2017/9/22 11:36:28"
"30031","1534921137,1534921138","19727059","2","1032","2017/9/22 11:36:41"
"30042","1534921137,1534921138","19727059","2","1032","2017/9/22 11:43:36"
"30043","1534921137,1534921138","19727059","2","1032","2017/9/22 11:45:00"
"30044","1534921137,1534921138","19727059","2","1032","2017/9/22 11:45:15"
"30045","1534921137,1534921138","19727059","2","1032","2017/9/22 11:46:25"
"30047","1534921137,1534921138","19727059","2","1032","2017/9/22 11:49:01"
"30053","1534921137,1534921138","19727059","2","1032","2017/9/22 11:52:03"
"30068","1534921137,1534921138","19727059","2","1032","2017/9/22 11:54:52"
"30069","1534921137,1534921138","19727059","2","1032","2017/9/22 11:55:07"
"30070","1534921137,1534921138","19727059","2","1032","2017/9/22 11:55:17"
"30071","1534921137,1534921138","19727059","2","1032","2017/9/22 11:56:16"
"30072","1534921137,1534921138","19727059","2","1032","2017/9/22 11:57:18"
"30081","1534921137,1534921138","19727059","2","1032","2017/9/22 12:13:31"
"20106","","19726700","0","1524","2017/9/22 02:53:09"
"20273","","19726700","0","1524","2017/9/22 02:58:37"
"28062","","19726700","0","1524","2017/9/22 03:50:06"
"20108","","19726700","0","1524","2017/9/22 02:53:09"
"20254","","19726700","0","1524","2017/9/22 02:55:06"
"28063","","19726700","0","1524","2017/9/22 03:50:06"
"20110","","19726700","0","1524","2017/9/22 02:53:09"
"20255","","19726700","0","1524","2017/9/22 02:55:06"
"28064","","19726700","0","1524","2017/9/22 03:50:06"
"20111","","19726700","0","1524","2017/9/22 02:53:09"
"20256","","19726700","0","1524","2017/9/22 02:55:06"
"28065","","19726700","0","1524","2017/9/22 03:50:06"
"29319","","19726700","0","1524","2017/9/22 07:06:17"
"29342","","19726700","0","1524","2017/9/22 07:19:43"
"29320","","19726700","0","1524","2017/9/22 07:06:17"
"29343","","19726700","0","1524","2017/9/22 07:19:43"
"29321","","19726700","0","1524","2017/9/22 07:06:17"
"29344","","19726700","0","1524","2017/9/22 07:19:43"
"29372","","19726700","0","1524","2017/9/22 07:24:16"
"29384","","19726700","0","1524","2017/9/22 07:25:28"
"29373","","19726700","0","1524","2017/9/22 07:24:16"
"29385","","19726700","0","1524","2017/9/22 07:25:28"
"29374","","19726700","0","1524","2017/9/22 07:24:16"
"29386","","19726700","0","1524","2017/9/22 07:25:28"
"29375","","19726700","0","1524","2017/9/22 07:24:16"
"29387","","19726700","0","1524","2017/9/22 07:25:28"
"29376","","19726700","0","1524","2017/9/22 07:24:16"
"29388","","19726700","0","1524","2017/9/22 07:25:28"
"29377","","19726700","0","1524","2017/9/22 07:24:16"
"29389","","19726700","0","1524","2017/9/22 07:25:28"
"29943","1534918919,1534920867,1534920868","19726553","11","524","2017/9/22 10:45:17"
"29944","1534918919,1534920867,1534920868","19726553","11","524","2017/9/22 10:45:48"
"29295","","19726699","0","1524","2017/9/22 06:53:16"
"29299","","19726699","0","1524","2017/9/22 06:53:45"
"29296","","19726699","0","1524","2017/9/22 06:53:16"
"29300","","19726699","0","1524","2017/9/22 06:53:45"
"29731","","19726699","0","1524","2017/9/22 08:01:17"
"29736","","19726699","0","1524","2017/9/22 08:02:13"
"29732","","19726699","0","1524","2017/9/22 08:01:17"
"29737","","19726699","0","1524","2017/9/22 08:02:43"
"29733","","19726699","0","1524","2017/9/22 08:01:17"
"29738","","19726699","0","1524","2017/9/22 08:02:43"
"29734","","19726699","0","1524","2017/9/22 08:01:17"
"29739","","19726699","0","1524","2017/9/22 08:02:43"
"29294","","19726699","0","1524","2017/9/22 06:53:16"
"29298","","19726699","0","1524","2017/9/22 06:53:45"
"30033","","19726858","0","788","2017/9/22 11:36:41"
"30032","","19726876","0","788","2017/9/22 11:36:41"
"30034","","19726858","0","788","2017/9/22 11:38:06"
"30035","","19726876","0","788","2017/9/22 11:38:06"
"30036","","19726858","0","788","2017/9/22 11:39:45"
"30037","","13172775","0","220","2017/9/22 11:40:38"
"30038","","19726860","2","1786","2017/9/22 11:40:59"
"30039","","19726860","2","1786","2017/9/22 11:41:03"
"30051","","19726860","2","1786","2017/9/22 11:51:13"
"30052","","19726860","2","1786","2017/9/22 11:51:36"
"30054","","19726867","0","788","2017/9/22 11:52:32"
"30056","","19726867","0","788","2017/9/22 11:52:32"
"30059","","19726867","0","788","2017/9/22 11:52:32"
"30055","","19726867","0","788","2017/9/22 11:52:32"
"30057","","19726867","0","788","2017/9/22 11:52:32"
"30058","","19726867","0","788","2017/9/22 11:52:32"
"30060","","19726869","1","1786","2017/9/22 11:52:32"
"30062","","19726869","1","1786","2017/9/22 11:52:32"
"30061","","19726869","2","1786","2017/9/22 11:52:32"
"30063","","19726869","2","1786","2017/9/22 11:52:32"
"29291","","19726699","0","1524","2017/9/22 06:53:16"
