"clogid","cbussinessid","cobjectid","cobjectline","calarmcode","crecvoccurutctime"
"20363","","19726554","0","1524","2017/9/22 03:23:26"
"20372","","19726554","0","1524","2017/9/22 03:23:30"
"20456","","19726554","0","1524","2017/9/22 03:39:19"
"20485","","19726554","0","1524","2017/9/22 03:42:37"
"4012","1534919366,1534921693","19727173","7","1921","2017/9/22 02:36:15"
"28117","1534919366,1534921693","19727173","7","1921","2017/9/22 03:50:45"
"4013","","19727173","0","1524","2017/9/22 02:36:15"
"20267","","19727173","0","1524","2017/9/22 02:56:22"
"28041","","19727173","0","1524","2017/9/22 03:50:03"
"4014","","19727173","0","1524","2017/9/22 02:36:15"
"20268","","19727173","0","1524","2017/9/22 02:56:22"
"28042","","19727173","0","1524","2017/9/22 03:50:03"
"4015","","19727173","0","1524","2017/9/22 02:36:15"
"4211","","19727173","0","1524","2017/9/22 02:46:23"
"20269","","19727173","0","1524","2017/9/22 02:56:22"
"28043","","19727173","0","1524","2017/9/22 03:50:03"
"4033","1534920805,1534920806,1534921673","19727184","131073","60080","2017/9/22 02:36:15"
"4034","1534920805,1534920806,1534921673","19727184","131073","60080","2017/9/22 02:36:15"
"4035","1534920805,1534920806,1534921673","19727184","131073","60080","2017/9/22 02:36:15"
"4036","1534920805,1534920806,1534921673","19727184","131073","60080","2017/9/22 02:36:15"
"20090","1534919295,1534921594,1534921595","19727095","9","698","2017/9/22 02:53:04"
