����
50
226
227
288
315
365
388
417
426
564
565
566
567
568
569
570
571
572
573
580
687
688
690
694
724
963
964
965
966
967
968
969
970
977
978
979
980
1092
1107
1108
1109
1217
1218
1407
1408
1409
1440
1441
1442
1444
1445
1446
1448
1463
1464
1777
1778
1931
1932
1939
2266
2411
2465
2767
2827
2828
2830
2831
2834
2835
2837
2838
2872
60059
60060
62095
1512
1522
1514
1524
97
1519
1715
2034
60080
1743
1744
1232
1786
1281
1282
1660
524
